"character" "dialogue"
"1" "THREEPIO" "Did you hear that? They shut down the main reactor. We will be destroyed for sure. This is crazy!"
"2" "THREEPIO" "We are doomed!"
"3" "THREEPIO" "There will be no escape for the princess this time."
"4" "THREE" "What is this?"
"5" "THREEPIO" "I should know better than to trust the logic of a medium-sized thermocapsular housing removal wizard..."
"6" "LUKE" "Hurry up! Come with me! What are you waiting for?! Hurry up!"
"7" "THREEPIO" "Artoo! Artoo-Detoo, where are you?"
"8" "THREEPIO" "Finally! Where have you been?"
"9" "THREEPIO" "They're heading this way. What are we going to do? We're going to be sent to the Kessel spice mines or crushed who knows what!"
"10" "THREE" "Wait a minute, where are you going?"
"11" "IMPERIAL OFFICER" "The Death Star plans are not in the main computer."
"12" "VADER" "Where are the transmissions you intercepted?"
"13" "REBEL OFFICER" "We didn't intercept any transmissions. Aaah... This is a consular ship. We were on a diplomatic mission."
"14" "VADER" "If this is a consular ship... where is the ambassador?"
"15" "VADER" "Commander, destroy this ship until you find these plans and bring me the Ambassador. I want him alive!"
"16" "TROOPER" "There she is! Ready to stun!"
"17" "TROOPER" "She will be fine. Inform Lord Vader that we have a prisoner."
"18" "THREEPIO" "Hey, you're not allowed in there. It's restricted. You'll be deactivated for sure.."
"19" "THREE" "Don't call me a stupid philosopher, you fat bastard! Now get out before anyone sees you."
"20" "THREEPIO" "Secret mission? What plans? What are you talking about? I'm not going in there!"
"21" "THREEPIO" "I'm going to regret this."
"22" "CHIEF PILOT" "Here goes another one."
"23" "CAPTAIN" "Hold your fire. There are no life forms. Must have been short circuited."
"24" "THREEPIO" "That's funny, the damage doesn't look so bad from here."
"25" "THREEPIO" "Are you sure these things are safe?"
"26" "Woman" "I told you to slow down!"
"27" "FIXER" "Did I hear a young noise go off around here?"
"28" "CAMIE" "It was just Wormie in another attack."
"29" "LUKE" "Shape yourselves up!... Biggs?"
"30" "LUKE" "I didn't know you were back! When did you come in?"
"31" "BIGGS" "Just now. I wanted to surprise you, big shot. I thought you'd be here... I certainly didn't expect you to be working."
"32" "LUKE" "The Academy hasn't changed you much... but you're back so soon? Hey, what happened, didn't you get your commission?"
"33" "BIGGS" "Of course I understand. I signed on board the Rand Ecliptic last week. First mate Biggs Darklighter at your service... I just got back to say goodbye to all you unfortunate landlocked simpletons."
"34" "LUKE" "I almost forgot. There's a battle going on! Right here in our system. Come and look!"
"35" "DEAK" "Not again! Forget it."
"36" "LUKE" "There they are!"
"37" "BIGGS" "This isn't a battle, sniper... they're just sitting there! Probably a resupply from a tanker freighter."
"38" "LUKE" "But there were a lot of shots before..."
"39" "LUKE" "Hey, take it easy..."
"40" "CAMIE" "Don't worry about it, Wormie."
"41" "FIXER" "I keep telling you, the Rebellion is a long way from here. I doubt the Empire would fight to maintain this system. Believe me Luke, this planet is a big chunk of nothing..."
"42" "READ" "Lord Vader, I should know. Only you could be so bold. The Imperial Senate won't stand by this when they hear you attacked a diplomat..."
"43" "VADER" "Don't play with me, Your Highness. You weren't on any mission of mercy this time. You passed directly through a restricted system. Several transmissions were sent to this ship by Rebel spies. I want to know what happened with the plans they sent you."
"44" "READ" "I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan..."
"45" "VADER" "You are part of the Rebel Alliance... and a traitor. Take her away!"
"46" "COMMANDER" "Holding it is dangerous. If word gets out, it could generate sympathy for the Rebellion in the Senate."
"47" "VADER" "I tracked the Rebel spies to her. Now she's my only link to finding their secret base!"
"48" "COMMANDER" "you whatever."
"49" "VADER" "Leave it to me. Send a distress signal and then report to the Senate that everyone on board has been killed!"
"50" "SECOND OFFICER" "Lord Vader, battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fight, but no life forms were aboard."
"51" "VADER" "She must have hidden the plans in the escape pod. Send a detachment to retrieve them. Handle it personally, Commander. There will be no one to stop us this time."
"52" "COMMANDER" "Yes, sir."
"53" "THREEPIO" "How did I get into this mess? I really don't know how. It seems we are made to suffer. It's our lot in life."
