"character" "dialogue"
"1" "SHUTTLE CAPTAIN" "Command station, this is ST 321. Code Blue Clearance. We are initiating our approach. Disable security shield."
"2" "DEATH STAR CONTROLLER" "The security deflector shield will deactivate when we have confirmation of your code transmission. Please wait... You are clear to proceed."
"3" "SHUTTLE CAPTAIN" "We are beginning our approach."
"4" "OFFICER" "Inform the commander that Lord Vader's ship has arrived."
"5" "OPERATOR" "Yes, sir."
"6" "JERGERROD" "Lord Vader, this is an unexpected pleasure. We are honored by your presence."
"7" "VADER" "You can dispense with the pleasantries, Commander. I'm here to get you back on schedule."
"8" "JERJERROD" "I assure you, Lord Vader, my men are working as fast as they can."
"9" "VADER" "Maybe I can find new ways to motivate them."
"10" "JERJERROD" "I tell you, this station will be operational as planned."
"11" "VADER" "The Emperor does not share your optimistic assessment of the situation."
"12" "JERJERROD" "But he asks the impossible. I need more men."
"13" "VADER" "Then maybe you can tell him when he arrives."
"14" "JERJERROD" "Is the Emperor coming here?"
"15" "VADER" "Correct, Commander. And he is very unhappy with your apparent lack of progress."
"16" "JERJERROD" "We will double our efforts."
"17" "VADER" "I hope so, Commander, for your sake. The Emperor is not as forgiving as I am."
"18" "THREEPIO" "Of course I'm worried. And you should be too. Lando Calrissian and poor Chewbacca never came back from this horrible place."
"19" "THREEPIO" "Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, you'd probably short circuit."
"20" "THREEPIO" "Artoo, are you sure this is the right place? I'd better knock, I suppose."
"21" "THREEPIO" "It looks like there's no one there. Let's go back and tell Master Luke."
"22" "STRANGE VOICE" "Tee kicks what hey!"
"23" "THREEPIO" "God give me grace!"
"24" "THREEPIO" "Artoo Detoowha bo See three piowha hey very strange mischka Jabba du Hutt."
"25" "THREEPIO" "I don't think they'll let us in, Artoo. We'd better go."
"26" "THREE" "Artoo, wait. Oh, honey! Artoo. Artoo, I really don't think we should rush into all this."
"27" "THREEPIO" "Oh, Artoo! Artoo, wait for me!"
"28" "THREEPIO" "Just deliver Master Luke's message and get us out of here. Oh my God! Oh! Oh, no."
"29" "BIB" "Die Wanna Wanga!"
"30" "THREEPIO" "Oh, my God! Wauaga. We - we bring a message to your master, Jabba the Hutt."
"31" "THREEPIO" "...and a gift. Gift, what gift?"
"32" "BIB" "Nee Jabba no badda . Chaade me how good."
"33" "THREEPIO" "He says our instructions are to be given only to Jabba himself."
"34" "THREEPIO" "I'm sorry. I'm afraid he's so stubborn about this kind of thing."
"35" "BIB" " Nudd Chaa."
"36" "THREEPIO" "Artoo, I have a bad feeling about this."
"37" "THREEPIO" "Good morning."
"38" "JABBA" "Bo Shuda !"
"39" "THREEPIO" "The message, Artoo, the message."
"40" "LUKE" "Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend of Captain Solo. I know that you are powerful, powerful Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life. With your wisdom, I am confident that we can reach an agreement that is mutually beneficial and allows us to avoid any unpleasant confrontation. As proof of my goodwill, I present to you a gift: these two droids."
"41" "THREEPIO" "What did he say?"
"42" "LUKE" "...They are both hardworking and will serve you well."
"43" "THREEPIO" "That can't be! Artoo, you're sending the wrong message."
"44" "JABBA" "There will be no bargaining."
"45" "THREEPIO" "We are doomed."
"46" "JABBA" "I'm not giving up my favorite decoration. I like Captain Solo where he is."
"47" "THREEPIO" "Artoo, look! Captain Solo. And he's still frozen in carbonite."
"48" "THREEPIO" "What could have happened to Master Luke. Was it something I did? He never expressed any unhappiness with my work. Oh! Oh! Wait! Ohh!"
"49" "NINEDENINE" "Ah, good. New acquisitions. You're a protocol droid, aren't you?"
"50" "THREEPIO" "I am See-Threepio, human-cy..."
"51" "NINEDENINE" "Yes or no."
"52" "THREEPIO" "Ah. Well, yes."
"53" "NINEDENINE" "How many languages ​​do you speak?"
"54" "THREEPIO" "I am fluent in over six million forms of communication and can readily..."
"55" "NINEDENINE" "Splendid! We've been without an interpreter since our master got mad at our last protocol droid and disintegrated it."
"56" "THREEPIO" "Disintegrated?"
"57" "NINEDENINE" "Guard! This protocol droid could be useful. Encase it with a containment bolt and take it back to His Excellency's main audience chamber."
"58" "THREEPIO" "Artoo, don't leave me! Ohhh!"
"59" "NINEDENINE" "You're a feisty child, but you'll soon learn some respect. I need you on the master's Sailing Boat. And I think you'll fit in very well."
"60" "JABBA" "Da Eitha!"
"61" "OOLA" "Na Chuba negatorie Na! Na! Natoota ..."
"62" "JABBA" "Boscka!"
"63" "BOUSHH" "I came for the reward for this Wookiee."
"64" "THREEPIO" "Oh no! Chewbacca!"
"65" "JABBA" "We finally have the mighty Chewbacca."
"66" "THREEPIO" "Oh, uh, yes, uh, I'm here, Your Excellency. Uh... yes!"
"67" "THREEPIO" "Oh. The illustrious Jabba welcomes you and will gladly pay you the reward of twenty-five thousand."
"68" "BOUSHH" "I want fifty thousand. No less."
"69" "THREEPIO" "Uh, oh... but what, what did I say? Uh, the mighty Jabba asks why he must pay fifty thousand."
"70" "THREEPIO" "Because he's holding a thermal detonator."
"71" "JABBA" "This bounty hunter is my kind of scum. Fearless and inventive."
"72" "THREEPIO" "Jabba offers the sum of thirty-five. And I suggest you accept."
"73" "BOUSHH" "Zeebuss."
"74" "THREEPIO" "He agrees!"
"75" "BOUSHH" "Just relax for a moment. You are free of the carbonite."
"76" "BOUSHH" "Shhh. You have hibernation sickness."
"77" "HAN" "I can't see."
"78" "BOUSHH" "Your vision will return in time."
"79" "HAN" "Where am I?"
"80" "BOUSHH" "Jabba's Palace."
"81" "HAN" "Who are you?"
"82" "READ" "Someone who loves you."
"83" "HAN" "Read!"
"84" "READ" "I have to get you out of here."
"85" "HAN" "What's that? I know that laugh."
"86" "HAN" "Hey, Jabba. Look, Jabba, I was going to pay you back, but I got a little sidetracked. It's not my fault."
"87" "JABBA" "It's too late for that, Solo. You may have been a good smuggler, but now you're Bantha fodder."
"88" "HAN" "Look..."
"89" "JABBA" "Take him away!"
"90" "HAN" "Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be foolish!"
"91" "JABBA" "Bring her to me."
"92" "READ" "We have powerful friends. You will regret this..."
"93" "JABBA" "I'm sure."
"94" "READ" "Ugh!"
"95" "THREEPIO" "Ohhh, I can't bear to watch."
"96" "HAN" "Chewie? Chewie, is that you?"
"97" "HAN" "Ah! Chew--Chewie!"
"98" "HAN" "Wait. I can't see, friend. What's going on?"
"99" "HAN" "Luke? Luke is crazy. He can't even take care of himself, let alone rescue someone."
"100" "HAN" "Um... Jedi Knight? I - I've been out of it for a while, everyone has delusions of grandeur."
"101" "HAN" "I'm fine, buddy. I'm fine."
"102" "LUKE" "I need to talk to Jabba."
"103" "LUKE" "You're going to take me to Jabba now!"
"104" "LUKE" "You serve your master well."
"105" "LUKE" "And you will be rewarded."
"106" "THREEPIO" "Finally! Master Luke has come to rescue me."
"107" "BIB" "Master."
"108" "BIB" "...Luke Skywalker, Jedi Knight."
"109" "JABBA" "I told you not to admit it."
"110" "LUKE" "I must be allowed to speak."
"111" "BIB" "He should be able to talk."
"112" "JABBA" "You weak-minded fool! He's using an old Jedi mind trick."
"113" "LUKE" "You will bring Captain Solo and the Wookiee to me."
"114" "JABBA" "Your mental powers won't work on me, boy."
"115" "LUKE" "Still, I'm taking Captain Solo and his friends. You can profit from this... or be destroyed! The choice is yours. But I warn you not to underestimate my powers."
"116" "THREEPIO" "Master Luke, you are standing..."
"117" "JABBA" "There will be no bargaining, young Jedi. I will enjoy watching you die."
"118" "JABBA" "Enough!"
"119" "THREEPIO" "Oh no! The Grudge!"
"120" "JABBA" "Bring me Solo and the Wookiee. They will all suffer for this outrage."
"121" "LUKE" "Han!"
"122" "HAN" "Luke!"
"123" "LUKE" "Are you okay?"
"124" "HAN" "Okay. Together again, huh?"
"125" "LUKE" "I wouldn't miss it."
"126" "HAN" "How are we?"
"127" "LUKE" "Same as always."
"128" "HAN" "So bad, huh? Where's Leia?"
"129" "READ" "I'm here."
"130" "THREEPIO" "Oh, dear. His High Exaltation, the great Jabba the Hutt, has decreed that you must be exterminated immediately."
"131" "HAN" "Well, I hate long waits."
"132" "THREEPIO" "You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the almighty Sarlacc."
"133" "HAN" "It doesn't look so bad."
"134" "THREEPIO" "In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years."
"135" "HAN" "On second thought, let's pass it on, huh?"
"136" "LUKE" "You should have negotiated, Jabba. That's the last mistake you'll ever make."
"137" "HAN" "I think my eyes are getting better. Instead of a big dark blur, I see a big blur of light."
"138" "LUKE" "There's nothing to see. I used to live here, you know."
"139" "HAN" "You're going to die here, you know. Convenient."
"140" "LUKE" "Just stay close to Chewie and Lando. I took care of everything."
"141" "HAN" "Ah... great!"
"142" "JABBA" "Soon you will learn to appreciate me."
"143" "THREEPIO" "Ah, I'm so sorry... Artoo! What are you doing here?"
"144" "THREEPIO" "Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke, and if we're not careful, so will we!"
"145" "THREEPIO" "Hmm. I wish I had your trust."
"146" "THREEPIO" "Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But if any of you wish to beg for mercy, the great Jabba the Hutt will now hear your pleas."
"147" "HAN" " Trêspio, tell that slimy piece of... worm-filled filth that he won't get as much pleasure from us. OK?"
"148" "LUKE" "Jabba! This is your last chance. Free us or die."
"149" "JABBA" "Move it into position."
"150" "JABBA" "Put him in."
"151" "LUKE" "Calm down, Chewie."
"152" "LANDO" "Hey! Hey! Help!"
"153" "HAN" "Chewie, are you okay? Where is he?"
"154" "HAN" "I'm fine, buddy."
"155" "LANDO" "Han! Chewie?"
"156" "HAN" "Lando!"
"157" "HAN" "Boba Fett?! Boba Fett?! Where?"
"158" "HAN" "Lando, take it!"
"159" "LANDO" "Down!"
"160" "HAN" "I'm trying!"
"161" "HAN" "Hey! Hey! Grab me, Chewie! I'm slipping."
"162" "HAN" "Grab! L-- Lando. Grab!"
"163" "HAN" "Grab it! Almost... You almost made it!"
"164" "LANDO" "Wait! Wow!"
"165" "HAN" "Gently now. All... all right. Easy, easy now. Hold me, Chewie."
"166" "HAN" "Chewie! Chewie, give me the gun. Don't move, Lando."
"167" "LANDO" "No, wait! I thought you were blind!"
"168" "HAN" "It's okay. Trust me. Don't move."
"169" "LANDO" "Okay! A little louder! Just a little louder!"
"170" "HAN" "Chewie, pull us up! Come on! Okay... up, Chewie, up!"
"171" "READ" "Come on. We have to get out of here quickly."
"172" "THREEPIO" "Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!"
"173" "LUKE" "Take the gun! Aim for the deck!"
"174" "LUKE" "Aim for the deck!"
"175" "THREEPIO" "Artoo, where are we going? I couldn't jump."
