"character" "dialogue"
"1" "LUKE" "Echo Three to Echo Seven. Han, old friend, do you read me?"
"2" "HAN" "Loud and clear, kid. What's up?"
"3" "LUKE" "Well, I've finished my circle. I don't get any life reading."
"4" "HAN" "There isn't enough life in this ice cube to fill a space cruiser. The sensors are in place. I'm going back."
"5" "LUKE" "Okay. I'll see you soon. There's a meteorite that hit the ground near here. I want to check it out. It won't take long."
"6" "LUKE" "Hey, steady girl. What's the matter? Do you smell something?"
"7" "LUKE" "Aaargh!"
"8" "HAN" "Chewie!"
"9" "HAN" "Okay, don't lose your cool. I'll be right back and give you a hand."
"10" "RIEEKAN" "Alone?"
"11" "HAN" "No signs of life out there, General. The sensors are in place. You'll know if something happens."
"12" "RIEEKAN" "Has Commander Skywalker arrived yet?"
"13" "HAN" "No. He's checking out a meteorite that fell near him."
"14" "RIEEKAN" "With all the meteor activity in this system, it will be difficult to detect approaching ships."
"15" "HAN" "General, I have to leave. I can't stay any longer."
"16" "RIEEKAN" "I'm sorry to hear that."
"17" "HAN" "Well, there's a price on my head. If I don't pay Jabba the Hut, I'm a dead man."
"18" "RIEEKAN" "A death mark is not an easy thing to live with. You're a good fighter, Solo. I hate losing you."
"19" "HAN" "Thank you, General."
"20" "HAN" "Well, Your Highness, I guess that's it."
"21" "READ" "That's right."
"22" "HAN" "Well, don't get all soft on me. See you later, Princess."
"23" "READ" "Han!"
"24" "HAN" "Yes, Your Highness?"
"25" "READ" "I thought you decided to stay."
"26" "HAN" "Well, the bounty hunter we met on Ord Mantell changed my mind."
"27" "READ" "Han, we need you!"
"28" "HAN" "We?"
"29" "READ" "Yes."
"30" "HAN" "Oh, what do you need?"
"31" "READ" "Do I need to? I don't know what you're talking about."
"32" "HAN" "You probably don't."
"33" "READ" "And what exactly should I know?"
"34" "HAN" "Come on! You want me to stay because of how you feel about me."
"35" "READ" "Yes. You are a great help to us. You are a natural leader..."
"36" "HAN" "No! It's not that. Let's go. Aahhh -- uh huh! Let's go."
"37" "READ" "You're imagining things."
"38" "HAN" "I am? Then why are you following me? Afraid I'll leave without kissing you goodbye?"
"39" "READ" "I'd rather kiss a Wookiee."
"40" "HAN" "I can arrange that. You need a good kiss!"
"41" "THREEPIO" "Don't try to blame me. I didn't ask you to turn on the thermal heater. I just commented that it was freezing in the princess's room. But it should have been freezing. How are we going to dry all her clothes? I really don't know."
"42" "THREEPIO" "Ah, hang up."
"43" "HAN" "Why do you take this apart now? I'm trying to get us out of here and you pull them both."
"44" "THREEPIO" "Excuse me, sir."
"45" "HAN" "Put them back together right now."
"46" "THREEPIO" "Can I have a word with you, please?"
"47" "HAN" "What do you want?"
"48" "THREEPIO" "Well, it's Princess Leia, sir. She's trying to get you on the communicator."
"49" "HAN" "I hung up. I don't want to talk to her."
"50" "THREEPIO" "Ah. Well, Princess Leia is wondering about Master Luke. He hasn't returned yet. She doesn't know where he is."
"51" "HAN" "I don't know where he is."
"52" "THREEPIO" "Nobody knows where he is."
"53" "HAN" "What do you mean \"nobody knows\"?"
"54" "THREEPIO" "Well, uh, you see..."
"55" "HAN" "Deck Officer. Deck Officer!"
"56" "THREEPIO" "Excuse me, sir. May I inqu-..."
"57" "DECK OFFICER" "Yes, sir?"
"58" "HAN" "Do you know where Commander Skywalker is?"
"59" "DECK OFFICER" "I didn't see him. It's possible he came in through the south entrance."
"60" "HAN" "Is it possible? Why don't you go find out? It's getting dark outside."
"61" "DECK OFFICER" "Yes, sir."
"62" "THREEPIO" "Excuse me, sir. May I ask what's going on?"
"63" "HAN" "Why not?"
"64" "THREEPIO" "Impossible man. Come, Artoo, let's find Princess Leia. Between you and me, I think Master Luke is in considerable danger."
"65" "DECK OFFICER" "Sir, Commander Skywalker did not enter through the south entrance. He may have forgotten to check in."
"66" "HAN" "Not likely. Are the speeders ready?"
"67" "DECK OFFICER" "Not yet. We're having trouble adapting them to the cold."
"68" "HAN" "Then we'll have to leave in Tauntauns."
"69" "DECK OFFICER" "Sir, the temperature is dropping very quickly."
"70" "HAN" "That's right. And my friends outside."
"71" "ASSISTANT OFFICER" "I'll cover sector twelve. Have com-control set alpha screen."
"72" "DECK OFFICER" "Your Tauntaun will freeze before you reach the first marker."
"73" "HAN" "Then I'll see you in hell!"
"74" "THREEPIO" "You must come now, Artoo. There's really nothing else we can do. And my joints are freezing."
"75" "THREEPIO" "Don't say things like that! Of course we'll see Master Luke again. He'll be fine, you'll see. Stupid short circuit. He'll be fine. right."
"76" "LIEUTENANT" "Sir, all patrols are in. No contact yet from Skywalker or Solo."
"77" "THREEPIO" "Lady Leia, Artoo says he has been unable to pick up any signal, though he admits his own range is too weak to abandon all hope."
"78" "DERLIN" "Your Highness, there is nothing more we can do tonight. The armored doors must be closed."
"79" "DERLIN" "Close the doors."
"80" "LIEUTENANT" "Yes, sir."
"81" "THREEPIO" "Artoo says the chances of survival are seven hundred and seventy-five... to one."
"82" "THREEPIO" "Actually, Artoo has been known to make mistakes... from time to time. Oh, dear, oh, dear. Don't worry about Master Luke. I'm sure he'll be fine. . He It's quite intelligent, you know... for a human being."
"83" "BEN" "Luke...Luke."
"84" "LUKE" "Ben?"
"85" "BEN" "You will go to the Dagobah system."
"86" "LUKE" "Dagobah System?"
"87" "BEN" "There you will learn from Yoda, the Jedi Master who instructed me."
"88" "LUKE" "Ben...Ben."
"89" "HAN" "Luke! Luke! Don't do that, Luke. Come on, give me a sign here."
"90" "HAN" "Not long."
"91" "LUKE" "Ben...Ben..."
"92" "HAN" "Hang on, kid."
"93" "LUKE" "Dagobah System..."
"94" "HAN" "Phew..."
"95" "LUKE" "Dagobah..."
"96" "HAN" "That might smell bad, kid..."
"97" "LUKE" "Yoda..."
"98" "HAN" "...but it will keep you warm...until I build the shelter. Ooh...I thought they smelled bad outside!"
"99" "ZEV" "Echo Base... I have something! Not much, but it could be a life form."
"100" "ZEV" "This is Rouge Two. this is Rouge Two. Captain Solo, so you copy? Commander Skywalker, you copy? This is Rouge Two."
"101" "HAN" "Good morning. I'm glad you came."
"102" "ZEV" "Echo Base... this is Rouge Two. I found them. I repeat, I found them."
"103" "THREEPIO" "Master Luke, sir, it's good to see you fully functional again."
"104" "THREEPIO" "Artoo expresses his relief as well."
"105" "HAN" "How are you feeling, kid? You don't look so bad to me. In fact, you look strong enough to rip a Gundark's ears off."
"106" "LUKE" "Thanks to you."
"107" "HAN" "That's two you owe me, junior."
"108" "HAN" "Well, Your Honor, it looks like you managed to keep me around for a while longer."
